Time,Model,Requests,Prompt,Completion,Tokens
5:20 PM,gpt-3.5-turbo-16k-0613,2,4046,1246,5292
5:25 PM,text-embedding-ada-002-v2,166,1044479,0,1044479
5:25 PM,gpt-4-0613,3,8565,1310,9875
5:30 PM,gpt-4-0613,1,2855,451,3306
5:30 PM,text-embedding-ada-002-v2,1,6,0,6
5:30 PM,gpt-3.5-turbo-16k-0613,1,1569,551,2120
5:35 PM,gpt-3.5-turbo-16k-0613,3,7753,1188,8941
5:35 PM,gpt-4-0613,1,2855,509,3364
5:35 PM,text-embedding-ada-002-v2,1,6,0,6
5:40 PM,gpt-3.5-turbo-16k-0613,2,7223,750,7973
6:05 PM,gpt-4-0613,2,301,163,464
6:10 PM,gpt-4-0613,1,81,74,155
6:15 PM,gpt-4-0613,3,211,245,456
6:20 PM,gpt-3.5-turbo-16k-0613,3,2441,1197,3638
6:25 PM,gpt-3.5-turbo-16k-0613,3,1601,1086,2687
6:30 PM,gpt-3.5-turbo-16k-0613,1,178,224,402
6:35 PM,gpt-4-0613,4,105,49,154
6:40 PM,gpt-3.5-turbo-16k-0613,2,4470,1144,5614
6:40 PM,text-embedding-ada-002-v2,2,18,0,18
6:50 PM,gpt-3.5-turbo-16k-0613,1,606,196,802
6:55 PM,text-embedding-ada-002-v2,1,9,0,9
7:00 PM,gpt-3.5-turbo-16k-0613,1,2235,573,2808
7:55 PM,gpt-3.5-turbo-16k-0613,2,28,41,69
8:00 PM,gpt-3.5-turbo-16k-0613,3,7507,3697,11204
8:40 PM,gpt-3.5-turbo-16k-0613,1,10092,58,10150
9:45 PM,text-embedding-ada-002-v2,14,85996,0,85996
9:50 PM,text-embedding-ada-002-v2,315,2002947,0,2002947
9:50 PM,gpt-3.5-turbo-16k-0613,2,5069,1059,6128
9:55 PM,gpt-3.5-turbo-16k-0613,1,3056,249,3305
9:55 PM,text-embedding-ada-002-v2,164,1044480,0,1044480
11:35 PM,text-embedding-ada-002-v2,1,9,0,9
11:35 PM,gpt-3.5-turbo-16k-0613,1,2235,572,2807
